video_transcription_text,index
predict,67
instrument,67
due,67
date,66
artificial,66
country,66
second,66
eiffel,66
worldwide,66
fingernails,66
losing,66
pound,66
hold,66
tongue,65
moons,65
music,65
jet,65
neptune,65
rains,65
had,64
home,64
state,64
instruments,64
bus,64
saturn,64
11,64
recording,64
india,64
gets,64
inches,64
cricket,63
selling,63
fuel,63
heard,63
won’t,63
oxygen,63
air,63
can’t,63
dwarf,63
lightning,63
20,63
sides,63
king,62
played,62
language,62
equal,62
enough,62
net,62
those,62
ball,62
last,62
written,62
hand,61
mice,61
100,61
passenger,61
spacecrafts,61
physically,61
record,61
produce,61
snail,61
snows,60
sales,60
worth,60
comes,60
canada,60
highest,59
chicken,59
luck,59
seen,59
dolphins,59
national,59
amazon,59
might,58
dogs,58
help,58
song,58
pineapple,58
metro,58
player,58
type,57
ravens,57
pluto,57
sense,57
mount,57
bird,57
data,57
singing,57
pressure,57
band,57
everest,57
"100,000",57
speed,57
smell,57
states,56
sound,56
children,56
egg,56
jupiter,56
elements,55
cruise,55
table,55
letter,55
periodic,55
appear,55
baked,54
history,54
taller,54
30,54
always,54
300,53
calories,53
12,53
singapore,53
quintillion,53
stars,52
pumpkins,52
produced,51
airplane,51
23,51
commercial,50
flight,50
pandas,50
green,49
half,48
device,48
modern,48
put,47
rainbow,46
looking,44
lost,44
annually,44
totalling,44
previously,44
items,44
england,42
"london,",42
attached,41
&,41
ripen,41
"seconds,",41
taking,41
mercury,41
redwoods,41
still,41
place,41
avocados,41
cyanide,40
called,40
rock,40
apple,40
spiderlings,40
spiders,40
bigger,40
eye,40
ostrich,40
small,39
leans,39
person.,39
b.c.,39
operated,39
percent,39
seventy,39
document,39
chinese,39
tennis,39
began,39
240,39
keyboard,38
ireland,38
jump,38
emirates,38
english.,38
indicator,38
domestic,38
location,38
individuals,38
evidence,38
9,38
alaska,38
high,38
agriculture,38
reindeer,38
row,38
suggest,38
financial,38
99%,38
field,38
prevalent,38
arab,38
potential,38
85,38
ft,38
"denmark,",38
tall,38
gross,38
overall,38
trade,38
typed,38
antlers,38
whose,38
nearly,38
seymour,38
country's,38
100%,38
(gdp),38
standard,38
ankles,37
flamingo,37
scary,37
joint,37
stomach,37
7100+,37
70,37
violins,37
weird,37
wooden,37
sneeze,37
fry,37
sleeping,37
butterflies,37
cube,37
moving,37
constructed,37
orbital,37
don’t,37
lion,37
likely,37
philippines,37
dream,37
pieces,37
heat,37
pink,37
legs,37
bright,37
radiates,37
expansion,37
best-selling,37
bent,37
roar,37
rubik's,37
lake,37
scottish,37
grapevines,36
fit,36
hottest,36
galapagos,36
eyeballs,36
’empty,36
"shanghai,",36
japanese,36
2035,36
professional,36
rhombicuboctahedron,36
believed,36
22,36
rotation,36
traveling,36
26,36
venus.,36
south,36
age,36
store,36
tortoise,36
acre,36
400,36
60mph,36
thailand.,36
phrase,36
petabyte,36
14,36
kite,36
koalas,36
lead,36
‘karaoke’,36
driving,36
meaning,36
detroit,36
word,36
octopus,36
close,36
orchestra’,36
60,36
unique,35
wide,35
towards,35
weather,35
warmer,35
ward,35
inhabited,35
surface,35
parts,35
leeches,35
microwave,35
moon’s,35
mosquitoes,35
off,35
oven,35
historically,35
strikes,35
places,35
prevent,35
helps,35
saliva,35
snowflake,35
stays,35
playing,35
invention,35
duration,35
breaking,35
applying,35
area,35
30000,35
bubbles,35
"dogs,",35
bananas,35
continuously,35
40%,35
1920,35
craters,35
bathwater,35
curved,35
damascus,35
dance,35
coldest,35
15,35
amount,35
canary,35
accidental,35
"""tug-of-war""",35
indonesia,34
key,34
streak,34
"seasons,",34
may,34
horns,34
22nd,34
keep,34
honk,34
hot,34
"jakarta,",34
satellite,34
jordan,34
jumbo,34
eight,34
bangkok's,34
three-game,34
household,34
triskaidekaphobia,34
243,34
starting,34
travels,34
does,34
squid,34
illegal,34
michael,34
impossible,34
tank,34
f,34
sputnik,34
least,34
belongs,34
supermarkets,34
13,34
harmonica,34
open,34
four,34
cleansing,34
network,34
butter,34
bulls,34
color,34
163,34
waste,34
buttermilk,34
zealanders,34
"1990,",34
reindeer’s,34
chicago,34
cold,34
pair,34
prints,34
antarctica,33
light,33
can't,33
sounds,33
plates,33
allowing,33
reptiles,33
earth’s,33
egypt,33
africa,33
origins,33
strand,33
strawberries,33
ounces,33
checks,33
acid,33
past,33
jumped,33
originally,33
asteroid,33
frigate,33
digits,33
begin,33
beef,33
men,33
saturdays,33
body's,33
rate,33
move,33
pyramid,33
continental,33
banjo,33
continent,33
protein,33
sloths,33
natural,33
breaths,33
bring,33
loud,33
attracted,33
prime,33
living,33
bubble,33
atmosphere,33
metal,33
dominant,33
designed,33
fruit,33
uses,33
150,33
6%,33
"17,425,170",33
grown,33
gymnastics,33
hair,33
tectonic,33
watched,33
wallpaper,33
flavors,33
thing,33
venomous,33
externally,33
fears:,33
2045,33
faster,33
horses,33
falling,33
60%,33
insects,33
houseflies,33
11-year-old,33
"year,",33
wrap,33
frequently,33
girl,33
workplace,33
enters,33
sweet,33
further,33
employees,33
women,33
dense,32
restaurants,32
cars,32
berry's,32
berry,32
yellowstone,32
zones,32
based,32
24,32
fission,32
2032,32
cheetah,32
typically,32
mileage,32
old,32
carried,32
badminton,32
bulletproof,32
wind,32
pompeii,32
nucelear,32
1860,32
netherlands,32
footprints,32
remains,32
clocked,32
bottled,32
chuck,32
voyager,32
"goode""",32
flavoring,32
months,32
park,32
expiration,32
shells,32
sweden,32
electricity,32
"3,500",32
2850000,32
activity,32
earliest,32
surviving,32
"""johnny",32
technically,32
animal,32
alters,32
armadillos,32
left,32
earthquakes,32
supervolcano,32
disappear,32
jetpacks,32
b.,32
spend,31
british,31
formed,31
primary,31
productive,31
traffic,31
week,31
75,31
neptune’s,31
prompt,31
considered,31
parents,31
facial,31
mustache,31
concorde,31
wipers,31
winds,31
english,31
child’s,31
garden,31
sunset,31
"japan,",31
sumo,31
99,31
750,31
wrestler,31
"cards,",31
again,31
stuck,31
glow,31
t-shirts,31
"12,000",31
stick,31
putting,31
invented,31
windshield,31
1905,31
emotions,31
sharks,31
man,31
deck,31
expressions,31
dark,31
258,31
2061,31
rings,31
saturn’s,31
everyday,31
volcanoes,31
emotional,31
lose,31
until,31
driver,31
cry,31
crocodile,31
making,31
length,31
260,31
tuesday,31
cards,30
carnegie,30
sail,30
beatles,30
pineapples,30
$300,30
there’s,30
phones,30
shipped,30
ship,30
surpass,30
royal,30
championship,30
sciences,30
chewing,30
part,30
parrots,30
pinecones,30
"usd,",30
captive,30
$475,30
among,30
brazil,30
1922,30
andrew,30
recognized,30
records,30
sold,30
red-billed,30
referred,30
regulation,30
prizes,30
vinyl,30
ants,30
"649,740",30
biggest,30
better,30
presley,30
366,30
throwing,30
today,30
quelea,30
usd,30
bees,30
1900,30
power,30
chihuahuas,30
nobel,30
flea,30
operates,30
higher,30
industrialist,30
odds,30
octopuses,30
ocean,30
introduced,30
jungles,30
outages,30
elvis,30
dubai,30
lift,30
lines,30
disc,30
curie,30
dimples,30
marie,30
flush,30
compact,30
freight,30
goods,30
golf,30
own,30
wilt,29
legend,29
crosby,29
smaller,29
rainforest,29
smelling,29
smells,29
apples,29
passengers,29
st.,29
americans,29
astronauts,29
adult,29
fouled,29
9.9,29
employs,29
j,29
recognize,29
"birth,",29
"christmas""",29
sandy,29
depth,29
beats,29
melting,29
"meters,",29
deepest,29
decreases,29
microbes,29
diesel,29
partly,29
barbeque,29
seconds,29
game,29
loss,29
automotive,29
bing,29
generated,29
noises,29
"""white",29
roughly,29
chamberlain,29
one-fourth,29
feed,29
transport,29
trains,29
faces,29
hundred,29
plant,29
"petersburg,",29
india’s,29
2019,29
increases,29
20%-50%,29
industry,29
meow,29
outerspace,29
flights,29
heart,29
honeybees,29
glaciers,29
fizzy,29
"friends""",28
violin,28
fewer,28
beaches,28
wash,28
distinguish,28
sent,28
separated,28
fattiest,28
understand,28
developing,28
206,28
maker,28
espresso,28
horsehair,28
toast,28
telescope,28
japan,28
gestures,28
they'll,28
journey,28
words,28
stressed,28
stone,28
egyptians,28
adulthood,28
took,28
side,28
x-rays,28
generates,28
train,28
250,28
slices,28
slept,28
energy,28
human's,28
fake,28
dog’s,28
sky,28
ancient,28
before,28
black,28
real,28
bolt,28
"bones,",28
bows,28
cows,28
bread,28
britain,28
powerful,28
possible,28
portugal,28
bytes,28
ones,28
pillows,28
organ,28
child's,28
boars,28
"""best",28
7,27
wool.,27
debut,27
atheletes,27
ears,27
rubber,27
dice,27
whales,27
assocation,27
hummingbird,27
artist,27
busiest,27
metallica,27
mouthful,27
group,27
elasticity,27
olympus,27
watching,27
flossing,27
opposite,27
stop,27
hum,27
players,27
volcano,27
holding,27
airport,27
play,27
album,27
eat,27
27,27
continents,27
noses,27
mons,27
prince,27
memory,27
balls,27
packed,27
4,27
beans,27
seven,27
backwards,27
refrigerated,27
(nba),27
aware,27
"500,000",27
paid,27
improves,27
top,27
nose,27
10,27
bands,27
sheep,27
tightly,27
q',26
lands,26
under,26
internal,26
technicolored,26
calama,26
roam,26
standing,26
computer,26
deliveries,26
25,26
experienced,26
actual,26
iceland,26
electric,26
pupil,26
ketchup,26
town,26
colonies,26
entrepreneurs,26
burn,26
2025,26
southern,26
vehicle,26
champion,26
1832,26
measured,26
170-year-old,26
whale's,26
winner,26
centimeters,26
goat,26
champagne,26
rectangular,26
rain,26
outside,26
chile,26
gershwin,26
baltic,26
george,26
mammals,26
scrabble,26
"""summertime""",26
bottle,26
dorothy,26
canned,26
vehicle’s,26
queens,26
leaves,26
already,26
code,26
heyward,26
heartbeat,26
drone,26
582,26
happening,26
become,26
ant,26
they're,25
364,25
"parrots,",25
objects,25
200,25
planted,25
running,25
thrown,25
buried,25
"websites,",25
world.,25
1.16,25
together,25
forgot,25
pounds,25
cannonballs,25
gloves,25
holds,25
winners,25
center,25
operating,25
fingerless,25
melbourne,25
"olympics,",25
1900s,25
nuts,25
millions,25
email,25
almost,25
elephants,25
active,25
drivers,25
kea,25
console,25
connectivity,25
addresses,25
medals,25
"parrot,",25
producer,25
admit,25
events,25
situations,25
stressful,25
early,25
silver,25
international,25
baseball,25
laugh,25
awarded,25
estimated,25
mood,25
lollipop,25
licks,25
ships,25
shot,25
silk,25
alive,24
plants,24
source,24
universe,24
via,24
1930,24
scored,24
animals,24
soccer,24
web,24
airports,24
cup,24
lived,24
grass,24
wider,24
grains,24
lives,24
winning,24
gold,24
goal,24
diets,24
mined,24
one-third,24
species,24
insect,24
75%,24
tournament,24
one-armed,24
purchases,24
sustain,24
7%,24
sand,24
two-thirds,24
"6,000",24
retail,24
lakes,24
theoretically,24
50%,24
keyboards,23
arranged,23
double,23
down,23
image,23
mirror,23
racing,23
formula,23
teaspoon,23
35,23
cupcakes,23
soil,23
thursday,23
otters,23
upside,23
huge,23
unable,23
tunnel,23
microorganisms,23
120mph,23
alphabetically,23
swim,23
typing,23
t-rex,22
dog,22
erwin,22
predator,22
minutes,22
austrian,22
allergic,22
physicist,22
schrödinger,22
spines,22
successful,22
knuckles,22
gasses,22
closest,22
released,22
relative,22
cracking,22
hooks,22
cactus,22
directions,21
billions,21
chef’s,21
commercially,21
owns,21
eggs,21
hat,21
cook,21
gorillas,21
represents,21
folds,21
ways,21
dragonflies,21
lemurs,21
candle’s,20
multinational,20
zero,20
initiatives,20
2020,20
investing,20
flame,20
since,20
gravity,20
35%,20
increased,20
companies,20
